School Year,Topic,Grade,District,District Name,Proficient,Total,% Proficient,Proficient Category,District Office Location
2011,Math,6,4203,Mediapolis,51.0,57.0,89.5,80.1 - 90%,"725 N. Northfield
Mediapolis, Iowa 52637
(41.01322067, -91.160449839)"
2011,Reading,5,5742,Sac,55.0,67.0,82.1,80.1 - 90%,"400 S 16th St
Sac City, Iowa 50583
(42.418390154, -95.002601057)"
2011,Math,4,5310,Postville,21.0,23.0,91.3,90.1 - 100%,"314 W Post
Postville, Iowa 521620717
(43.083446813, -91.572598014)"
2011,Reading,4,1368,Columbus,34.0,51.0,66.7,60.1 - 70%,"1208 Colton St
Columbus Junction, Iowa 52738
(41.268605316, -91.367431777)"
2011,Math,6,5805,Saydel,59.0,87.0,67.8,60.1 - 70%,"5740 N E 14th Street
Des Moines, Iowa 50313
(41.664949721, -93.600627517)"
2011,Reading,5,6990,West Sioux,32.0,45.0,71.1,70.1 - 80%,"1300 Falcon Drive
Hawarden, Iowa 51023
(43.000411157, -96.473901123)"
2011,Reading,3,3154,Iowa Valley,33.0,45.0,73.3,70.1 - 80%,"359 E Hilton St
Marengo, Iowa 52301
(41.798598129, -92.066585859)"
2011,Reading,4,6100,South Winneshiek,24.0,28.0,85.7,80.1 - 90%,"304 S Webster St
Calmar, Iowa 52132
(43.180778347, -91.86743264)"
2011,Reading,8,4149,MOC-Floyd Valley,77.0,85.0,90.6,90.1 - 100%,"1301 8th St SE
Orange City, Iowa 51041
(42.997548276, -96.041486456)"
2011,Reading,5,2007,Eldora-New Providence,35.0,42.0,83.3,80.1 - 90%,"1010 Edgington Ave
Eldora, Iowa 50627
(42.360687111, -93.096201173)"
2011,Reading,4,171,Alta,26.0,38.0,68.4,60.1 - 70%,"101 W 5th St
Alta, Iowa 51002
(42.670511869, -95.304289487)"
2011,Math,7,549,Bedford,37.0,42.0,88.1,80.1 - 90%,"906 Pennsylvania St
Bedford, Iowa 50833
(40.66984574, -94.72259906)"
2011,Reading,5,916,CAL,11.0,16.0,68.8,60.1 - 70%,"1441 Gull Ave
Latimer, Iowa 50452
(42.750819774, -93.370002921)"
2011,Reading,8,4775,Northeast Hamilton,14.0,17.0,82.4,80.1 - 90%,"606 Illinois St
Blairsburg, Iowa 50034
(42.480561718001, -93.639521298)"
2011,Math,4,1953,Earlham,36.0,46.0,78.3,70.1 - 80%,"535 N Chestnut Ave
Earlham, Iowa 50072
(41.495707827001, -94.12303199)"
2011,Math,7,4104,Marshalltown,238.0,355.0,67.0,60.1 - 70%,"1002 SOuth 3rd Ave.
Marshalltown, Iowa 501583987
(42.036421181, -92.907823838)"
